fault_query,matched_terms,entity_id,entity_type,description,related_entity,related_description,edge_description,edge_keywords,conditions,source_id,file_path
Jamming,interference mitigation,D1T1-B,Application,"D1T1-B is a deployment scenario where the carrier-wave source is separately deployed from the D2R receiver, relying on spatial isolation and interference mitigation techniques such as RF cancellation and high-pass filtering. It supports wired connection between the base station and carrier-wave node, enabling synchronization.",,,,,,chunk-bc096626f85d63ac4a4bad15f656e7d2,../3GPP-trunked/Rel-19/38_series/38769-j00.md2
Antenna Failure,antenna,Directional beams,Concept,"Directional beams are formed using multiple antenna elements and are used in both common channels for initial access and in RRC_CONNECTED state. Each directional beam is associated with a synchronization signal block (SSB) and is designed to cover specific directions within a cell's coverage area, as illustrated in Figure 5.1.1.1-1.",,,,,,chunk-d15ae6e3068dd5c2b7c9b9440e7ccb5c,../3GPP-trunked/Rel-19/28_series/28866-j00.md5.1.1.1
Antenna Failure,antenna,Carrier power,Concept,"Carrier power is the power at the antenna connector in the channel bandwidth of the carrier, averaged over at least one subframe for NR or E-UTRA, at least one slot for UTRA, and the useful part of the burst for GSM/EDGE.",,,,,,chunk-8ec859a261ddbc6f9ec29fde8465ee41,../3GPP-trunked/Rel-19/37_series/37104-j00.md3.1
Antenna Failure,antenna; antenna system,AAS BS,Concept,"AAS BS refers to an Advanced Antenna System Base Station, which is a type of base station that supports advanced antenna technologies. It is categorized into two types: hybrid AAS BS and OTA AAS BS, based on their interface types.",transmitter OFF period,Transmitter OFF period is the time interval during which the transmitter is scheduled not to transmit data or signals.,time period during which the transmitter is scheduled not to transmit,Condition,,chunk-577759f1cf0755d332a2137226881f1d,../3GPP-trunked/Rel-19/37_series/37105-j00.md3.1
Antenna Failure,antenna; antenna system,AAS BS,Concept,"AAS BS refers to an Advanced Antenna System Base Station, which is a type of base station that supports advanced antenna technologies. It is categorized into two types: hybrid AAS BS and OTA AAS BS, based on their interface types.",transmitter ON period,Transmitter ON period is the time interval during which the transmitter is actively transmitting data and/or reference symbols.,time period during which the transmitter is transmitting data and/or reference symbols,Condition,,chunk-577759f1cf0755d332a2137226881f1d,../3GPP-trunked/Rel-19/37_series/37105-j00.md3.1
Antenna Failure,antenna; antenna system,AAS BS receiver,Technology,AAS BS receiver is a composite receiver function of an Active Antenna System Base Station that receives signals within an operating band.,,,,,,chunk-161a0abb20e459f2b39ce5aa7439b058,../3GPP-trunked/Rel-19/37_series/37145-2-j00.md3.1
Antenna Failure,antenna; antenna system,active antenna system base station,Technology,"Active antenna system base station is a base station system that integrates an Antenna Array, an Active transceiver unit array, and a Radio Distribution Network.",,,,,,chunk-161a0abb20e459f2b39ce5aa7439b058,../3GPP-trunked/Rel-19/37_series/37145-2-j00.md3.1
Antenna Failure,antenna,radio distribution network,Concept,"A radio distribution network is a linear passive network that distributes RF power generated by the transceiver unit array to the antenna array, and/or distributes radio signals collected by the antenna array to the transceiver unit array.",,,,,,chunk-db42c7ef13523b2a5c600dac1590e03a,../3GPP-trunked/Rel-19/37_series/37105-j00.md3.1
Antenna Failure,antenna,transceiver array boundary,Concept,Transceiver array boundary is the conducted interface between the transceiver unit array and the composite antenna.,normal operating conditions,,Transmit configurations are specified at the transceiver array boundary at the TAB connector(s) as defined in clause 6 of the present document,Condition,,chunk-8b77114f2078938b529ce71117dbb01c,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.2.1
Antenna Failure,antenna,transceiver array boundary,Concept,Transceiver array boundary is the conducted interface between the transceiver unit array and the composite antenna.,Transmit configurations,"Transmit configurations refer to the setup and specifications for signal transmission in Type 1-H, defined in section 4.5.2.1, and are evaluated at the transceiver array boundary at the TAB connector(s) under normal operating conditions.",Transmit configurations are specified at the transceiver array boundary at the TAB connector(s) as defined in clause 6 of the present document,locate_at,"[""normal operating conditions""]",chunk-8b77114f2078938b529ce71117dbb01c,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.2.1
