telecomts_fault,candidate_entity,candidate_type,candidate_description,candidate_source_id,candidate_file_path,related_entity,related_type,related_description,edge_description,edge_keywords,edge_conditions,edge_source_id,edge_file_path,edge_weight
Antenna Failure,AAS BS,Concept,"AAS BS refers to an Advanced Antenna System Base Station, which is a type of base station that supports advanced antenna technologies. It is categorized into two types: hybrid AAS BS and OTA AAS BS, based on their interface types.",chunk-90d799b63ecfbb7e46a6fcc5dd7682de,../3GPP-trunked/Rel-19/37_series/37145-2-j00.md1,transmitter OFF period,Concept,Transmitter OFF period is the time interval during which the transmitter is scheduled not to transmit data or signals.,time period during which the transmitter is scheduled not to transmit,Condition,,chunk-577759f1cf0755d332a2137226881f1d,../3GPP-trunked/Rel-19/37_series/37105-j00.md3.1,1.0
Antenna Failure,AAS BS,Concept,"AAS BS refers to an Advanced Antenna System Base Station, which is a type of base station that supports advanced antenna technologies. It is categorized into two types: hybrid AAS BS and OTA AAS BS, based on their interface types.",chunk-90d799b63ecfbb7e46a6fcc5dd7682de,../3GPP-trunked/Rel-19/37_series/37145-2-j00.md1,transmitter ON period,Concept,Transmitter ON period is the time interval during which the transmitter is actively transmitting data and/or reference symbols.,time period during which the transmitter is transmitting data and/or reference symbols,Condition,,chunk-577759f1cf0755d332a2137226881f1d,../3GPP-trunked/Rel-19/37_series/37105-j00.md3.1,1.0
Antenna Failure,AAS BS,Concept,"AAS BS refers to an Advanced Antenna System Base Station, which is a type of base station that supports advanced antenna technologies. It is categorized into two types: hybrid AAS BS and OTA AAS BS, based on their interface types.",chunk-90d799b63ecfbb7e46a6fcc5dd7682de,../3GPP-trunked/Rel-19/37_series/37145-2-j00.md1,transmitter OFF period,Concept,Transmitter OFF period is the time interval during which the transmitter is scheduled not to transmit data or signals.,time period during which the transmitter is scheduled not to transmit,Condition,,chunk-577759f1cf0755d332a2137226881f1d,../3GPP-trunked/Rel-19/37_series/37105-j00.md3.1,1.0
Antenna Failure,AAS BS,Concept,"AAS BS refers to an Advanced Antenna System Base Station, which is a type of base station that supports advanced antenna technologies. It is categorized into two types: hybrid AAS BS and OTA AAS BS, based on their interface types.",chunk-90d799b63ecfbb7e46a6fcc5dd7682de,../3GPP-trunked/Rel-19/37_series/37145-2-j00.md1,transmitter ON period,Concept,Transmitter ON period is the time interval during which the transmitter is actively transmitting data and/or reference symbols.,time period during which the transmitter is transmitting data and/or reference symbols,Condition,,chunk-577759f1cf0755d332a2137226881f1d,../3GPP-trunked/Rel-19/37_series/37105-j00.md3.1,1.0
Antenna Failure,transceiver array boundary,Concept,Transceiver array boundary is the conducted interface between the transceiver unit array and the composite antenna.,chunk-a6ffb25d4f7548c2b7c841751a791c5a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md3.1,normal operating conditions,Terminology,,Transmit configurations are specified at the transceiver array boundary at the TAB connector(s) as defined in clause 6 of the present document,Condition,,chunk-8b77114f2078938b529ce71117dbb01c,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.2.1,1.0
Antenna Failure,transceiver array boundary,Concept,Transceiver array boundary is the conducted interface between the transceiver unit array and the composite antenna.,chunk-a6ffb25d4f7548c2b7c841751a791c5a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md3.1,Transmit configurations,Concept,"Transmit configurations refer to the setup and specifications for signal transmission in Type 1-H, defined in section 4.5.2.1, and are evaluated at the transceiver array boundary at the TAB connector(s) under normal operating conditions.",Transmit configurations are specified at the transceiver array boundary at the TAB connector(s) as defined in clause 6 of the present document,locate_at,"[""normal operating conditions""]",chunk-8b77114f2078938b529ce71117dbb01c,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.2.1,1.0
Antenna Failure,transceiver array boundary,Concept,Transceiver array boundary is the conducted interface between the transceiver unit array and the composite antenna.,chunk-a6ffb25d4f7548c2b7c841751a791c5a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md3.1,normal operating conditions,Terminology,,Transmit configurations are specified at the transceiver array boundary at the TAB connector(s) as defined in clause 6 of the present document,Condition,,chunk-8b77114f2078938b529ce71117dbb01c,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.2.1,1.0
Antenna Failure,transceiver array boundary,Concept,Transceiver array boundary is the conducted interface between the transceiver unit array and the composite antenna.,chunk-a6ffb25d4f7548c2b7c841751a791c5a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md3.1,Transmit configurations,Concept,"Transmit configurations refer to the setup and specifications for signal transmission in Type 1-H, defined in section 4.5.2.1, and are evaluated at the transceiver array boundary at the TAB connector(s) under normal operating conditions.",Transmit configurations are specified at the transceiver array boundary at the TAB connector(s) as defined in clause 6 of the present document,locate_at,"[""normal operating conditions""]",chunk-8b77114f2078938b529ce71117dbb01c,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.2.1,1.0
Antenna Failure,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,REF,UNKNOWN,Clause 5.2.3.2.2 of 3GPP TS 29.5,TS 38.104 [2],Reference,,chunk-0f595be48d3acba9ba5bfcb151e53c27,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md1,1.0
Antenna Failure,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,REF,UNKNOWN,Clause 5.2.3.2.2 of 3GPP TS 29.5,TS 38.104 [2],Reference,,chunk-2d761ca3641320f2bddfad5e4ee553f0,../3GPP-trunked/Rel-19/38_series/38141-2-j00.mdNone,1.0
