fault_query,matched_term,entity_id,entity_type,description,related_entity,edge_description,edge_keywords,conditions,source_id,file_path
Faulty RF Filters,,Blocking of D2R receiver,Concept,"Blocking of D2R receiver refers to the interference issue where the D2R receiver may be blocked by a carrier-wave source. This is evaluated under different deployment scenarios: (1) when the carrier-wave source is separately deployed from the D2R receiver (e.g., D1T1-A1 and D1T1-B), relying on spatial isolation; and (2) when the carrier-wave transmitter and D2R receiver are integrated (e.g., D1T1-A2), allowing analog interference cancellation in the RF front-end.",,,,,chunk-bc096626f85d63ac4a4bad15f656e7d2,../3GPP-trunked/Rel-19/38_series/38769-j00.md2
Faulty RF Filters,,Carrier-wave interference cancellation,Concept,"Carrier-wave interference cancellation is a technique used to mitigate interference from a carrier-wave source. It involves spatial isolation, RF interference cancellation, and high-pass filtering. The effectiveness depends on deployment configuration and signal synchronization.",,,,,chunk-bc096626f85d63ac4a4bad15f656e7d2,../3GPP-trunked/Rel-19/38_series/38769-j00.md2
Faulty RF Filters,,D1T1-A2,Application,"D1T1-A2 is a deployment scenario where the carrier-wave transmitter and D2R receiver are integrated, enabling analog interference cancellation in the RF front-end. This configuration allows for higher interference suppression, especially when a common reference clock is shared between the transmitter and receiver.",,,,,chunk-bc096626f85d63ac4a4bad15f656e7d2,../3GPP-trunked/Rel-19/38_series/38769-j00.md2
Faulty RF Filters,,D1T1-B,Application,"D1T1-B is a deployment scenario where the carrier-wave source is separately deployed from the D2R receiver, relying on spatial isolation and interference mitigation techniques such as RF cancellation and high-pass filtering. It supports wired connection between the base station and carrier-wave node, enabling synchronization.",,,,,chunk-bc096626f85d63ac4a4bad15f656e7d2,../3GPP-trunked/Rel-19/38_series/38769-j00.md2
Handover Failure,handover failure,Relative Time Stamp Accuracy,Concept,"Relative Time Stamp Accuracy is a requirement specified for the RRC Connection Establishment Failure Log Report, ensuring precise timing synchronization during the establishment of an RRC connection.<SEP>Relative Time Stamp Accuracy is a requirement specified in section 4.3C.3 for accurate timing in log reporting related to radio link failure and handover failure. It ensures synchronization between timestamps for reliable failure analysis.",DEF,Relative Time Stamp Accuracy is a requirement for the RRC Connection Establishment Failure Log Report as defined in section 4.3.4.,Definition,,chunk-06fb3849a2b05fc784df644ba8ef5ac2,../3GPP-trunked/Rel-19/38_series/38133-j00_cover.md4.3.4
Handover Failure,handover failure,Relative Time Stamp Accuracy,Concept,"Relative Time Stamp Accuracy is a requirement specified for the RRC Connection Establishment Failure Log Report, ensuring precise timing synchronization during the establishment of an RRC connection.<SEP>Relative Time Stamp Accuracy is a requirement specified in section 4.3C.3 for accurate timing in log reporting related to radio link failure and handover failure. It ensures synchronization between timestamps for reliable failure analysis.",4.3.4,Relative Time Stamp Accuracy is required for the RRC Connection Establishment Failure Log Report to ensure accurate timing in failure logging,Condition,,chunk-06fb3849a2b05fc784df644ba8ef5ac2,../3GPP-trunked/Rel-19/38_series/38133-j00_cover.md4.3.4
Handover Failure,handover failure,Relative Time Stamp Accuracy,Concept,"Relative Time Stamp Accuracy is a requirement specified for the RRC Connection Establishment Failure Log Report, ensuring precise timing synchronization during the establishment of an RRC connection.<SEP>Relative Time Stamp Accuracy is a requirement specified in section 4.3C.3 for accurate timing in log reporting related to radio link failure and handover failure. It ensures synchronization between timestamps for reliable failure analysis.",RRC Connection Establishment Failure Log Report,Relative Time Stamp Accuracy is required for the RRC Connection Establishment Failure Log Report to ensure accurate timing in failure logging,require,"[""4.3.4)##""]",chunk-06fb3849a2b05fc784df644ba8ef5ac2,../3GPP-trunked/Rel-19/38_series/38133-j00_cover.md4.3.4
Handover Failure,,Handover Failure,Concept,"Handover Failure occurs when a mobile device fails to switch from one cell to another, and its log reporting requires accurate relative time stamping as defined in section 4.3C.3.",,,,,chunk-44e3ff5b5220c474dc2c17dd29e214b8,../3GPP-trunked/Rel-19/38_series/38133-j00_cover.md4.3.5
Handover Failure,,Handover Failure Log Reporting,Concept,"Handover Failure Log Reporting is a logging mechanism for recording instances of failed handover attempts, which requires accurate relative time stamping as specified in section 4.3C.3.",,,,,chunk-44e3ff5b5220c474dc2c17dd29e214b8,../3GPP-trunked/Rel-19/38_series/38133-j00_cover.md4.3.5
Handover Failure,,condHandoverFailure-r16,Concept,"condHandoverFailure-r16 is a conditional handover failure detection mechanism in 3GPP Release 16, and is currently checked. It is associated with the parameter configuration pc_condHandoverFailure_r16.)##
(entity",,,,,chunk-0d5781f25913d16fc1f37536fe1785ff,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s0815-s08161.md8.1.5.1.1.3.3
Interference Failure,,D1T1-B,Application,"D1T1-B is a deployment scenario where the carrier-wave source is separately deployed from the D2R receiver, relying on spatial isolation and interference mitigation techniques such as RF cancellation and high-pass filtering. It supports wired connection between the base station and carrier-wave node, enabling synchronization.",,,,,chunk-bc096626f85d63ac4a4bad15f656e7d2,../3GPP-trunked/Rel-19/38_series/38769-j00.md2
