telecomts_fault,node_id,entity_id,entity_type,description,source_id,file_path,created_at,source_file,release,raw_entity_id,matched_terms,candidate_score,priority_matches
Antenna Failure,Directional beams,Directional beams,Concept,"Directional beams are formed using multiple antenna elements and are used in both common channels for initial access and in RRC_CONNECTED state. Each directional beam is associated with a synchronization signal block (SSB) and is designed to cover specific directions within a cell's coverage area, as illustrated in Figure 5.1.1.1-1.",chunk-d15ae6e3068dd5c2b7c9b9440e7ccb5c,../3GPP-trunked/Rel-19/28_series/28866-j00.md5.1.1.1,1770233297,Rel-19/28_series/28866-j00/graph_chunk_entity_relation.graphml,Rel-19,Directional beams,antenna,2,antenna
Antenna Failure,Carrier power,Carrier power,Concept,"Carrier power is the power at the antenna connector in the channel bandwidth of the carrier, averaged over at least one subframe for NR or E-UTRA, at least one slot for UTRA, and the useful part of the burst for GSM/EDGE.",chunk-8ec859a261ddbc6f9ec29fde8465ee41,../3GPP-trunked/Rel-19/37_series/37104-j00.md3.1,1770199231,Rel-19/37_series/37104-j00/graph_chunk_entity_relation.graphml,Rel-19,Carrier power,antenna,2,antenna
Antenna Failure,AAS BS,AAS BS,Concept,"AAS BS refers to an Advanced Antenna System Base Station, which is a type of base station that supports advanced antenna technologies. It is categorized into two types: hybrid AAS BS and OTA AAS BS, based on their interface types.",chunk-90d799b63ecfbb7e46a6fcc5dd7682de,../3GPP-trunked/Rel-19/37_series/37145-2-j00.md1,1770199322,Rel-19/37_series/37104-j00/graph_chunk_entity_relation.graphml,Rel-19,AAS BS,antenna,2,antenna
Antenna Failure,AAS BS receiver,AAS BS receiver,Technology,AAS BS receiver is a composite receiver function of an Active Antenna System Base Station that receives signals within an operating band.,chunk-161a0abb20e459f2b39ce5aa7439b058,../3GPP-trunked/Rel-19/37_series/37145-2-j00.md3.1,1770199324,Rel-19/37_series/37104-j00/graph_chunk_entity_relation.graphml,Rel-19,AAS BS receiver,antenna,2,antenna
Antenna Failure,active antenna system base station,active antenna system base station,Technology,"Active antenna system base station is a base station system that integrates an Antenna Array, an Active transceiver unit array, and a Radio Distribution Network.",chunk-161a0abb20e459f2b39ce5aa7439b058,../3GPP-trunked/Rel-19/37_series/37145-2-j00.md3.1,1770199324,Rel-19/37_series/37104-j00/graph_chunk_entity_relation.graphml,Rel-19,active antenna system base station,antenna,2,antenna
Antenna Failure,radio distribution network,radio distribution network,Concept,"A radio distribution network is a linear passive network that distributes RF power generated by the transceiver unit array to the antenna array, and/or distributes radio signals collected by the antenna array to the transceiver unit array.",chunk-db42c7ef13523b2a5c600dac1590e03a,../3GPP-trunked/Rel-19/37_series/37105-j00.md3.1,1770199507,Rel-19/37_series/37105-j00/graph_chunk_entity_relation.graphml,Rel-19,radio distribution network,antenna,2,antenna
Antenna Failure,transceiver array boundary,transceiver array boundary,Concept,Transceiver array boundary is the conducted interface between the transceiver unit array and the composite antenna.,chunk-a6ffb25d4f7548c2b7c841751a791c5a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md3.1,1770198997,Rel-19/37_series/37145-1-j00/graph_chunk_entity_relation.graphml,Rel-19,transceiver array boundary,antenna,2,antenna
Antenna Failure,conducted test methods,conducted test methods,Concept,"Conducted test methods are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These methods are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25.105 [3], TS 36.104 [4], TS 38.104 [36], or TS 37.104 [5].",chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,1770199003,Rel-19/37_series/37890-j10/graph_chunk_entity_relation.graphml,Rel-19,conducted test methods,antenna,2,antenna
Antenna Failure,conformance requirements,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,1770199003,Rel-19/37_series/37890-j10/graph_chunk_entity_relation.graphml,Rel-19,conformance requirements,antenna,2,antenna
Antenna Failure,Active Antenna System (AAS) Base Station (BS),Active Antenna System (AAS) Base Station (BS),Technology,Active,chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,1770199003,Rel-19/37_series/37890-j10/graph_chunk_entity_relation.graphml,Rel-19,Active Antenna System (AAS) Base Station (BS),antenna,2,antenna
