telecomts_fault,candidate_entity,candidate_type,candidate_description,candidate_source_id,candidate_file_path,related_entity,related_type,related_description,edge_description,edge_keywords,edge_conditions,edge_source_id,edge_file_path,edge_weight,relevance_score
Antenna Failure,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,DEF,UNKNOWN,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","Transmitter characteristics are specified at the BS antenna connector (test port A) with a full complement of transceivers under normal operating conditions. If external apparatus such as a TX amplifier, a filter, or their combination is used, requirements apply at the far end antenna connector (test port B).",Definition,"[""normal operating conditions"", ""external apparatus""]",chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1,1.0,8
Antenna Failure,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,test port B,Terminology,test port B is the far end antenna connector where transmitter requirements apply when external apparatus such as a TX amplifier or filter is used.<SEP>test port B is the far end antenna connector where receiver requirements apply when external apparatus such as a RX amplifier or filter is used.,Transmitter characteristics requirements apply at test port B when external apparatus such as TX amplifier or filter is used,apply_at,"[""external apparatus""]",chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1,1.0,8
Antenna Failure,BS type 1-C,Technology,"BS type 1-C is a base station configuration where requirements are applied at the BS antenna connector (port A) for a single transmitter or receiver, or at the full complement of transceivers under normal operating conditions. If external apparatus such as amplifiers, filters, or their combination are used, the requirements apply at the far end antenna connector (port B).<SEP>BS type 1-C is a base station type in Japan whose emission limits may apply to the sum of emission power over all antenna connectors for Band n41 and Band n90 operations.",chunk-07f807123a347fd4aff6989a554b6bed<SEP>chunk-6a9155c687b93ecbea681139292bc065,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.3.1<SEP>../3GPP-trunked/Rel-19/38_series/38104-j00.md4.5,DEF,UNKNOWN,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","For BS type 1-C, the requirements are applied at the BS antenna connector (port A) for a single transmitter or receiver with a full complement of transceivers for the configuration in normal operating conditions. If any external apparatus such as an amplifier, a filter or the combination of such devices is used, requirements apply at the far end antenna connector (port B).",Definition,"[""normal operating conditions""]",chunk-6a9155c687b93ecbea681139292bc065,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.3.1,1.0,8
Antenna Failure,test port B,Terminology,test port B is the far end antenna connector where transmitter requirements apply when external apparatus such as a TX amplifier or filter is used.<SEP>test port B is the far end antenna connector where receiver requirements apply when external apparatus such as a RX amplifier or filter is used.,chunk-10a9c59ff456a682fb5aee61dc8f17b9<SEP>chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1<SEP>../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.2.1,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",Transmitter characteristics requirements apply at test port B when external apparatus such as TX amplifier or filter is used,apply_at,"[""external apparatus""]",chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1,1.0,8
Antenna Failure,receiver characteristics,Concept,"Receiver characteristics are specified in clause 7 at the BS antenna connector (test port A) under normal operating conditions with a full complement of transceivers. If external apparatus such as a RX amplifier, a filter, or their combination is used, the requirements apply at the far end antenna connector (test port B).",chunk-10a9c59ff456a682fb5aee61dc8f17b9,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.2.1,DEF,UNKNOWN,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","Receiver characteristics are specified at the BS antenna connector (test port A) with a full complement of transceivers under normal operating conditions. If external apparatus such as a RX amplifier, a filter, or their combination is used, requirements apply at the far end antenna connector (test port B).",Definition,"[""normal operating conditions"", ""full complement of transceivers""]",chunk-10a9c59ff456a682fb5aee61dc8f17b9,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.2.1,1.0,8
Antenna Failure,receiver characteristics,Concept,"Receiver characteristics are specified in clause 7 at the BS antenna connector (test port A) under normal operating conditions with a full complement of transceivers. If external apparatus such as a RX amplifier, a filter, or their combination is used, the requirements apply at the far end antenna connector (test port B).",chunk-10a9c59ff456a682fb5aee61dc8f17b9,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.2.1,test port A,UNKNOWN,,Receiver characteristics are specified at test port A when operating under normal conditions with full transceiver complement,specified at,"[""normal operating conditions"", ""full complement of transceivers""]",chunk-10a9c59ff456a682fb5aee61dc8f17b9,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.2.1,1.0,8
Antenna Failure,transceiver array boundary,Concept,Transceiver array boundary is the conducted interface between the transceiver unit array and the composite antenna.,chunk-a6ffb25d4f7548c2b7c841751a791c5a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md3.1,Transmit configurations,Concept,"Transmit configurations refer to the setup and specifications for signal transmission in Type 1-H, defined in section 4.5.2.1, and are evaluated at the transceiver array boundary at the TAB connector(s) under normal operating conditions.",Transmit configurations are specified at the transceiver array boundary at the TAB connector(s) as defined in clause 6 of the present document,locate_at,"[""normal operating conditions""]",chunk-8b77114f2078938b529ce71117dbb01c,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.2.1,1.0,7
Antenna Failure,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,release,Terminology,,Conformance requirements vary between different releases of core specifications,differ,"[""core specifications""]",chunk-2c45e697ca88b93c4791cc40ea551b08,../3GPP-trunked/Rel-19/38_series/38523-1-j00_cover.md4.4,1.0,7
Antenna Failure,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,Handling of differences,Concept,Handling of differences refers to the process or method used to manage discrepancies in conformance requirements across different releases of core specifications.,Handling of differences manages discrepancies in conformance requirements across different releases,manage,"[""core specifications""]",chunk-2c45e697ca88b93c4791cc40ea551b08,../3GPP-trunked/Rel-19/38_series/38523-1-j00_cover.md4.4,1.0,7
Antenna Failure,receiver RF requirements,UNKNOWN,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector<SEP>For ATG UE with antenna array indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each TAB connector",chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1,DEF,UNKNOWN,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector<SEP>For ATG UE with antenna array indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each TAB connector",Definition,"[""ATG UE""]",chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1,2.0,7
