matched_terms,entity_id,entity_type,description,source_id,file_path
mobility,5GC NFs,Technology,"5GC NFs (5G Core Network Functions) are network functions within the 5G core responsible for managing session, mobility, and service-related operations. They are sources of network energy related information used in ion exposure.<SEP>5GC NFs are 5G Core Network Functions that are part of the 5GC and can act as authorized consumers to request exposure of network energy related information.",chunk-08cf58a85b00cf34dd2c3fc14bdaa4e2<SEP>chunk-fb54105304627aaf0beb3a698b950ad9,../3GPP-trunked/Rel-19/23_series/23700-66-j00.md5.1.1<SEP>../3GPP-trunked/Rel-19/23_series/23700-66-j00.md6.2.2
mobility,5G MM procedures,Concept,"5G MM procedures are mobility management procedures in the 5G core network that include Registration and UE Configuration Update procedures, used to manage UE connectivity and mobility, and can be enhanced for network energy saving and energy efficiency.",chunk-15204f1a48b16a298feaca77f8bf8016,../3GPP-trunked/Rel-19/23_series/23700-66-j00.md6.15.2
mobility,AM policy,Concept,"AM policy is a set of rules created by the PCF that govern Access and Mobility parameters related to network energy saving, and can be associated with a UE to influence its mobility behavior.",chunk-15204f1a48b16a298feaca77f8bf8016,../3GPP-trunked/Rel-19/23_series/23700-66-j00.md6.15.2
mobility,Mobility Management procedures enhanced for energy saving,Concept,"Mobility Management procedures enhanced for energy saving is a set of procedures defined in section 6.15.3.1 to reduce network energy consumption. It involves enhancements to the Registration procedure described in clause 4.2.2.2.2 of TS 23.502 [3], including AM subscription data with validity conditions, AM policy decisions by PCF based on network energy information, and AMF actions using analytics and energy control data for access and mobility management.",chunk-7880ef7390842438a73812182530fbb8,../3GPP-trunked/Rel-19/23_series/23700-66-j00.md6.15.3.1
mobility,List of allowed TAIs,Concept,List of allowed TAIs is a set of Tracking Area Identifiers that the PCF may expand or restrict based on network energy related information to manage UE mobility and reduce energy consumption.,chunk-7880ef7390842438a73812182530fbb8,../3GPP-trunked/Rel-19/23_series/23700-66-j00.md6.15.3.1
mobility,core network,Technology,"The core network is the central part of the 5G System responsible for managing user sessions, mobility, and connectivity, and can be specifically targeted via subscription-based routing.",chunk-e7d1889bd63abf66975edf27a9c9e024,../3GPP-trunked/Rel-19/22_series/22877-j00.md1
mobility,AM PCF,Technology,AM PCF is a type of PCF responsible for handling access and mobility management-related policies.,chunk-8fdb52e3ed6c214ff83eceaf68e2a690,../3GPP-trunked/Rel-19/23_series/23700-66-j00.md6.20.2.1
mobility,AM/SM policy control,Application,AM/SM policy control refers to the application of access and mobility management or session management policies that utilize energy related UE subscription information to enable energy saving in the network.,chunk-8fdd643f49f58640d39894bb50c7c291,../3GPP-trunked/Rel-19/23_series/23700-66-j00.md6.22.3
mobility,SSC mode 1,Concept,"SSC mode 1 is a session and service continuity mode defined in the document, associated with section 6.29. It represents a specific configuration for maintaining session continuity during mobility or network changes.",chunk-1e0b2d1e7ea5f0ac4647a396b572b952,../3GPP-trunked/Rel-19/23_series/23700-66-j00.md6.29.3
mobility,5G system,Technology,"The 5G system is a telecommunications system described in the present document, comprising a User Equipment (UE), Next Generation Radio Access Network (NG-RAN), and 5G Core network. It defines service and operational requirements for 5G.<SEP>The 5G system is designed to provide optimized support for a variety of services, traffic loads, and end-user communities, offering enhanced flexibility and optimization through new technologies in both access and core networks. It supports stringent KPIs for latency, reliability, throughput, positioning, and availability, and enables new business models such as IoT and enterprise managed networks. The system incorporates network slicing, in-network caching, hosting services closer to endpoints, and support for non-public networks (NPNs) and public land mobile networks (PLMNs). It also supports diverse mobility, scalable resource assignment, and efficient control and data plane resource usage. The 5G system is applicable to both NPNs and PLMNs unless otherwise specified, and includes specific requirements for each. It addresses high data rates, user density, mobility, variable data rates, coverage, traffic density, connection density, and support for services like UAV control, AR, factory automation, and V2X applications.<SEP>The 5G system is a network architecture that supports a UE with a 5G subscription roaming into a 5G Visited Mobile Network that has a roaming agreement with the UE's 5G Home Mobile Network. It enables both home network provided data connectivity and visited network provided data connectivity, as well as support for services in either the home or visited network on a service-by-service basis. It also provides mechanisms for limiting access to services for roaming UEs based on roaming agreements and for directing UE traffic over a partnership network, subject to operator agreements.<SEP>The 5G system supports most existing EPS services and introduces many new services. It enables access to existing EPS services using new 5G access technologies, even when EPS specifications originally indicate E-UTRA(N) only. The 5G system does not support a few EPS capabilities, which are identified in clause 5.1.2.2.<SEP>The 5G system is the next-generation mobile network architecture designed to support advanced services and",chunk-0b42ea99701a892e35159c27b3d527ce<SEP>chunk-7aed1737f9a1c2ac2d7a169d37c78358<SEP>chunk-4fc44c8e593530e1da8ba74762026470<SEP>chunk-9a5198edffaf93e20db2c6ea7e0059cc<SEP>chunk-b62e8c8ab4c4d56d3516125d75c14c84,../3GPP-trunked/Rel-19/22_series/22261-ja0.md1<SEP>../3GPP-trunked/Rel-19/22_series/22261-ja0.md4<SEP>../3GPP-trunked/Rel-19/22_series/22261-ja0.md5.1.2.1<SEP>../3GPP-trunked/Rel-19/22_series/22261-ja0.md5.1.1<SEP>../3GPP-trunked/Rel-19/22_series/22261-ja0.md5.1.2.2
mobility,Legacy service support,Concept,"Legacy service support is a requirement in the 5G system that mandates support for all EPS capabilities as defined in 3GPP TS 22.011, 22.101, 22.278, 22.185, 22.071, 22.115, 22.153, 22.173, and 22.468. However, several specific service continuities and fallback mechanisms are explicitly not supported, including voice service continuity from NG-RAN to GERAN, UTRAN CS, or UTRAN, CS fallback to GERAN or UTRAN, seamless handover to GERAN or UTRAN, access to 5G core via GERAN or UTRAN, video service continuity between 5GS and UMTS, IP address preservation during mobility between 5GS and GSM/UMTS, and service continuity between 5GS and CDMA2000.",chunk-b62e8c8ab4c4d56d3516125d75c14c84,../3GPP-trunked/Rel-19/22_series/22261-ja0.md5.1.2.2
mobility,N15,Signal,N15 is a signaling interface in 5G core networks used for communication between the PCF and the Access and Mobility Management Function (AMF). It supports policy control signaling during mobility and access management procedures.,chunk-9f20e5ac96ba0787a93cb997dc8b1fe1,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.20
mobility,SSC Mode 3,Technology,"SSC Mode 3 is a session and service continuity mode used in PDU Session management, ensuring session continuity during mobility. It is specified in the URSP rules for both S-NSSAI-a and S-NSSAI-b.",chunk-c503745a39758c92de89a0e307fe123c,../3GPP-trunked/Rel-19/23_series/23700-66-j00.md6.11.2.2
mobility,5GC procedures,Concept,"5GC procedures are network procedures in the 5G Core that include MM (Mobility Management) and SM (Session Management) procedures, and are not impacted by the described changes.",chunk-437f18fa20c7f014185d8a3c0b0d48b1,../3GPP-trunked/Rel-19/23_series/23700-66-j00.md6.11.3
mobility,MM procedures,Concept,"MM procedures are Mobility Management procedures within the 5GC that handle mobility-related functions such as registration, tracking area updates, and authentication.",chunk-437f18fa20c7f014185d8a3c0b0d48b1,../3GPP-trunked/Rel-19/23_series/23700-66-j00.md6.11.3
mobility,MSC Server,Technology,MSC Server is a network element that manages call control and mobility functions in a mobile network and may be included in a trace record.,chunk-fe871e3da430726af272bd72b0cf79e6,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.1
mobility,SGSN,Technology,SGSN (Serving GPRS Support Node) is a network element that manages packet data session and mobility in a GPRS network and may be included in a trace record.,chunk-fe871e3da430726af272bd72b0cf79e6,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.1
mobility,MAP,Technology,"MAP is a signaling protocol used in mobile networks for communication between network elements such as MSC, HLR, and VLR, supporting services like call control, SMS, and subscriber data management.<SEP>MAP is a signaling protocol used in mobile networks for managing mobility and call control, defined in TS 29.002. It supports various procedures including handover preparation, access signaling, and identification, and is associated with specific messages and parameters such as IMSI, RAB ID, and error indicators.",chunk-b68b1449c05b918c615b607703833122<SEP>chunk-85f6f8c6ff86af3b6c0ef22071650a73,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.2
mobility,RANAP,Technology,"RANAP is a radio access network application protocol used in UMTS networks for managing radio resources and mobility, defined in TS 25.413. It supports procedures such as RAB assignment, relocation, paging, and error indication, and includes parameters like RAB ID, Cause, and Identity fields.",chunk-b68b1449c05b918c615b607703833122,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.2
mobility,AAM,Concept,AAM stands for Advanced Air Mobility and is defined in the present document as a concept related to the operation of uncrewed aerial systems in urban and suburban environments.,chunk-38224542e442f48dc9667046ac7c6374,../3GPP-trunked/Rel-19/22_series/22843-j20.md3.2
mobility,Mobility and service continuity,Concept,"Mobility and service continuity is a key aspect in 5G network sharing scenarios, focusing on maintaining",chunk-85e1c58a787a0901c95de93289745f86,../3GPP-trunked/Rel-19/22_series/22851-j10.md1
mobility,CN aspects,Concept,CN aspects refer to the core network-related functionalities and considerations in the context of mobility and service continuity during transitions between non-shared 4G/5G networks and shared 5G networks.,chunk-85e1c58a787a0901c95de93289745f86,../3GPP-trunked/Rel-19/22_series/22851-j10.md1
mobility,LOCATION RESPONSE,Signal,"LOCATION RESPONSE is a signaling message used in the S3/S10 interface with GTPv2-C protocol, carrying RAN Cause and Selected PLMN ID information as part of the mobility management procedure defined in TS 29.274.",chunk-e14775e2b711b96b094ae6116243d3f4,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.12
mobility,GTPv2-C,Technology,"GTPv2-C is a control plane protocol used for signaling between network nodes in LTE, such as MME and SGW, supporting mobility and session management procedures.",chunk-e14775e2b711b96b094ae6116243d3f4,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.12
mobility,X2,Technology,"X2 is a wireless interface in LTE networks that connects two eNodeBs, facilitating inter-eNodeB communication for mobility management and handover procedures.",chunk-9a98e15965b34a32af72e9791af706ee,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.13
mobility,MME,Technology,"MME is the Mobility Management Entity,",chunk-4487483e384352de7113c87b53f8c00e,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.13
mobility,BSSAP+,Technology,"BSSAP+ (BSS Application Part Plus) is a signaling protocol used for communication between the BSS and the MSC/VLR over the Gs interface, supporting GPRS-related procedures.<SEP>BSSAP+ is an enhanced version of the BSSAP protocol used in the Gs interface for handling mobility and session management, supporting signals such as LOCATION-UPDATE-REQUEST, MS-ACTIVITY-INDICATION, and TMSI-REALLOCATION-COMPLETE, and defined in TS 29.018.",chunk-4411b49d1b36beb6776ebb723ea5a246<SEP>chunk-1a1ec11419b537ac9406e97df160dafe,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.4
mobility,BSSAP,Technology,"BSSAP is a signaling protocol used in the Gs interface for handling mobility and session management between BSS and MSC, and is referenced in TS 29.01",chunk-1a1ec11419b537ac9406e97df160dafe,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.4
mobility,PMIP,Technology,PMIP is a protocol used in the S2a/S2b interface for managing mobility and session management in IP-based networks.,chunk-054893aabc3f26cedae92a03e56b3ae3,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.11
mobility,AMF Trace Record Content,Concept,"AMF Trace Record Content is a standardized record format that captures detailed signaling information for the AMF (Access and Mobility Management Function) during both management-based and signaling-based activation. It includes interface-specific message details, formats, and varying levels of detail (Minimum, Medium, Maximum) across multiple interfaces such as N2, N8, N11, N12, N14, N15, N20, and N22. The record supports decoded and encoded message formats, with specific fields for message names, record extensions, node identifiers, and extracted information elements from inter-node communications.>",chunk-6722d0a488f60b363cd6ab41e7f71f2b,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.18
mobility,N2,Signal,"N2 is a 5G interface between the AMF and the gNB-CU-CP or ng-eNB, used for signaling related to access and mobility management. It supports both decoded and",chunk-6722d0a488f60b363cd6ab41e7f71f2b,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.18
mobility,N11,Signal,"N11 is a 5G interface between the AMF and the SMF (Session Management Function), used for signaling related to session management procedures. It supports decoded and encoded message formats, with fields for message names, record extensions, and extracted information elements from messages between the traced AMF and SMF.<SEP>N11 is a signaling interface between the SMF and the AMF (Access and Mobility Management Function), used for mobility and session management coordination. It supports both decoded and encoded message formats, with varying levels of detail depending on the trace depth.",chunk-6722d0a488f60b363cd6ab41e7f71f2b<SEP>chunk-7c86638429dfab626c6b04c8f397794f,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.18<SEP>../3GPP-trunked/Rel-19/32_series/32423-j20.md4.19
mobility,N22,Signal,"N22 is a signaling message type used in the communication between the traced AMF and NSSF. It includes decoded and encoded forms, with specific information elements such as Message name, Record extensions, NSSF ID of the connected NSSF, and IE extracted from N22 messages. The encoded version preserves the raw message content as received.<SEP>N22 is a specific interface used between the traced NSSF and the AMF (Access and Mobility Management Function) for exchanging signaling messages. It supports trace recording with decoded and encoded message formats, and its trace details vary by trace depth level.",chunk-e37da75acd466c94168b6b9256d99dbe<SEP>chunk-19f103eaf5edd1c41524565fb5e472ea,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.18<SEP>../3GPP-trunked/Rel-19/32_series/32423-j20.md4.24
mobility,5G-GUTI,Technology,5G-GUTI is a 5G Globally Unique Temporary Identifier used to identify a user equipment (UE) in the 5G System (5GS) during mobility and session management.,chunk-37b9481de0fea637b5b54202a954d591,../3GPP-trunked/Rel-19/23_series/23003-j20.md1.2
mobility,5G-S-TMSI,Technology,5G-S-TMSI is a 5G S-Temporary Mobile Subscription Identifier used in the 5G System (5GS) to temporarily identify a user subscription during mobility and session management.,chunk-37b9481de0fea637b5b54202a954d591,../3GPP-trunked/Rel-19/23_series/23003-j20.md1.2
mobility,Mobility Management Entity (MME),Technology,Mobility Management Entity (MME) is a network function that stores all subscriber data required for EPS mode transmission and other purposes for mobile subscribers currently located in the area controlled by the MME.,chunk-f8d90039986e63a619c30ea2b660839a,../3GPP-trunked/Rel-19/23_series/23008-j00.md1.2
mobility,5G connection and mobility,Concept,"5G connection and mobility refers to the network functionality related to maintaining and managing user equipment connectivity and movement within a 5G network, which is the context for the ChargingDataResponse type.",chunk-8e42208666ac305506877c01278d3ebd,../3GPP-trunked/Rel-19/32_series/32291-j20.md6.1.6.2.4.2
